EDEQ,EDDS,EPSI,EAT26,BULIT-R,QEDD
1,0,0,0,0,1
1,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,1,0,0,1,1
1,1,0,1,0,1
1,0,1,0,1,0
0,0,0,0,0,1
0,0,1,1,0,0
0,0,0,0,0,1
1,0,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
1,1,1,0,1,1
0,0,0,1,0,0
0,0,0,0,0,1
1,0,0,1,0,0
1,0,0,0,0,0
1,0,0,1,0,0
0,0,1,1,0,1
0,0,1,0,0,0
0,0,0,1,1,1
0,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,1,1,0
0,1,0,0,1,0
0,0,1,0,0,0
0,1,1,1,1,1
0,0,1,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
0,1,0,0,0,0
0,0,1,0,1,0
0,1,0,0,0,0
0,0,1,0,0,0
0,0,0,0,0,1
0,0,1,0,0,1
1,1,0,1,1,1
1,1,1,0,1,1
0,1,0,1,1,1
0,0,0,0,1,0
1,0,0,0,1,0
1,1,0,0,1,1
1,1,0,0,0,1
0,0,1,0,0,0
0,0,1,0,0,0
0,1,0,1,0,0
0,0,0,1,0,1
0,1,0,0,0,0
0,0,0,1,0,0
0,0,1,0,0,1
1,1,0,1,1,1
1,1,0,1,1,1
0,0,0,1,0,0
0,0,0,1,0,0
0,0,1,0,0,0
0,1,0,0,0,0
0,0,1,1,0,0
0,0,0,0,1,0
0,0,0,1,0,0
0,0,0,0,1,0
0,0,1,1,1,0
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,1,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,1,1,0
0,1,0,0,1,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
1,1,1,1,1,1
1,0,0,0,0,1
1,0,1,0,1,0
0,0,0,1,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,0,0,0,0
1,0,0,0,0,0
1,1,0,0,0,1
