MASQ,STAI (T),STAI (S),TMAS,STICSA,SCL-90 R,Zung SAS,CC-DAS,4DSQ ,HADS,DASS,BAI,CAS
1,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,1,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0
1,0,0,1,1,1,1,0,1,0,1,1,0
1,0,0,1,1,1,1,0,1,0,1,1,0
1,1,1,1,0,1,0,1,0,1,1,0,1
1,0,0,1,1,1,1,1,1,0,1,1,1
1,1,1,1,0,1,1,0,0,0,1,0,0
1,1,1,1,0,0,1,1,0,1,1,1,1
1,1,1,1,0,1,1,1,0,1,1,1,1
0,0,1,1,0,0,1,1,0,0,1,0,1
1,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,1,0,1,0,1,0,0,1,0,0
0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,1,0,1,0,0,0,0
1,0,0,1,1,0,0,0,1,0,1,1,0
1,0,0,1,1,1,1,0,1,1,0,1,0
1,0,0,0,0,1,0,0,0,0,1,1,0
1,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,1,0,1,0,0,1,0
0,0,0,0,1,1,1,0,0,0,0,0,0
0,1,0,1,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,1,1,0,1,0,0,0,0,1,0
1,0,0,1,1,1,1,0,0,0,0,1,0
1,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,1,1,0,1,0,1,1,1
1,0,0,0,1,1,1,0,1,0,0,1,1
0,0,0,0,0,1,1,0,1,1,1,0,1
0,0,0,0,0,1,0,0,1,0,0,0,1
0,0,0,1,1,1,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,1,0,1,1,0,1,1,1,1,1
1,0,0,0,1,0,1,0,0,1,1,1,1
0,0,0,1,0,0,0,0,1,0,1,0,0
0,0,0,1,0,0,1,0,1,0,1,0,1
0,1,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,1,1,0,0,0,0,1,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,1,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,0,0
